Sprint,Bug ID,Bug Title,Who found,Platform,Functionality,How many times reproduced,Root Cause,Status,Priorities,Severity,Created Date,Changed Date,Time for solve
231,8410,Fix incorrect usage of DbContext async methods,Developer,"OPS(dev), OPS(prod)",Autopackaging Testing,1,_autopackagingTemplateService.GetAutopackagingTemplateById' is not asynchronous,Closed,3 - Medium,3 - Medium,22.05.2023,23.05.2023,1
230,8426,AAP [Caverion]Windows 10 x64 EN (1909) - MS Edge is outdated,Customer(Internal),"OPS(dev), OPS(prod)",VM,1,not updated MS Edge application,Closed,1 - Critical,2 - High,23.05.2023,23.05.2023,0
231,8429,Sometimes VMs are not created,Customer(Internal),"OPS(dev), OPS(prod)",Autopackaging Testing,1,,Closed,3 - Medium,3 - Medium,23.05.2023,24.05.2023,1
-,8431,EDEKA Windows 10 Pro x64 DE (21H2) - default PSADT dot sourcing,Customer(Internal),"OPS(dev), OPS(prod)",VM,1,,Closed,3 - Medium,3 - Medium,23.05.2023,17.07.2023,55
-,8434,"AutoPackagerJob does not replace value of 'PackagePath', 'CustomExitCodes' in SDC ticket description",Developer,"OPS(dev), OPS(prod)",AutoPackagerJob,1,,To Do,3 - Medium,3 - Medium,23.05.2023,27.06.2023,35
231,8435,Autopackaging restart jobs,Customer(Internal),"OPS(dev), OPS(prod)",Autopackaging Restart,1,,Closed,3 - Medium,3 - Medium,24.05.2023,26.05.2023,2
-,8440,Filtering options are not fully shown - Telerik table,Developer,"AT Portal(prod), AT Portal(dev)",Filtering,1,,To Do,3 - Medium,3 - Medium,24.05.2023,27.07.2023,64
231,8441,Set ValidateOnlySpecifiedFiles by default for all packageType,Customer(Internal),"OPS(dev), OPS(prod)",QC,1,,Closed,2 - High,1 - Critical,24.05.2023,03.07.2023,40
232,8443,Agent on VM slowing down machine / keyboard input,Managment,"AT Portal(prod), AT Portal(dev)",To Go Agent,1,,Closed,3 - Medium,3 - Medium,24.05.2023,14.06.2023,21
-,8444,Disco / Testing module: screenshotter button unaware of Agent state,Managment,"AT Portal(prod), AT Portal(dev)",Screenshoter,1,,To Do,3 - Medium,3 - Medium,24.05.2023,24.05.2023,0
